Latitude	Longitude	ltime
-14.18257328	-169.6593339	7/27/2019 12:44:34
-14.18257076	-169.6593385	7/27/2019 12:44:39
-14.18257487	-169.6593553	7/27/2019 12:44:44
-14.18259172	-169.6593523	7/27/2019 12:44:49
-14.18261418	-169.6593483	7/27/2019 12:44:54
-14.18263866	-169.6593456	7/27/2019 12:44:59
-14.18265718	-169.6593222	7/27/2019 12:45:04
-14.18268132	-169.6593053	7/27/2019 12:45:09
-14.1827058	-169.6592988	7/27/2019 12:45:14
-14.18271351	-169.6592942	7/27/2019 12:45:19
-14.18271518	-169.6592897	7/27/2019 12:45:24
-14.18271879	-169.6592837	7/27/2019 12:45:29
-14.18271753	-169.6592819	7/27/2019 12:45:34
-14.18271929	-169.6592765	7/27/2019 12:45:39
-14.18274418	-169.6592777	7/27/2019 12:45:44
-14.18276824	-169.6592792	7/27/2019 12:45:49
-14.18278651	-169.6592773	7/27/2019 12:45:54
-14.18280613	-169.6592758	7/27/2019 12:45:59
-14.18282222	-169.6592649	7/27/2019 12:46:04
-14.18283823	-169.6592487	7/27/2019 12:46:09
-14.1828472	-169.6592327	7/27/2019 12:46:14
-14.18285952	-169.6592327	7/27/2019 12:46:19
-14.18285399	-169.6592378	7/27/2019 12:46:24
-14.18284385	-169.6592389	7/27/2019 12:46:29
-14.18285239	-169.6592454	7/27/2019 12:46:34
-14.18283831	-169.6592469	7/27/2019 12:46:39
-14.18286027	-169.6592423	7/27/2019 12:46:44
-14.18288944	-169.6592379	7/27/2019 12:46:49
-14.18290562	-169.6592342	7/27/2019 12:46:54
-14.18293077	-169.6592275	7/27/2019 12:46:59
-14.18294971	-169.6592276	7/27/2019 12:47:04
-14.18295289	-169.6592301	7/27/2019 12:47:09
-14.18296823	-169.6592318	7/27/2019 12:47:14
-14.18297502	-169.6592363	7/27/2019 12:47:19
-14.18296555	-169.6592432	7/27/2019 12:47:24
-14.18297092	-169.6592424	7/27/2019 12:47:29
-14.18297863	-169.6592394	7/27/2019 12:47:34
-14.18296203	-169.6592439	7/27/2019 12:47:39
-14.18296312	-169.6592463	7/27/2019 12:47:44
-14.18295893	-169.659257	7/27/2019 12:47:49
-14.18296379	-169.6592728	7/27/2019 12:47:54
-14.18297586	-169.6592877	7/27/2019 12:47:59
