ident	Latitude	Longitude	time
T5534	-14.18147114	-169.6580113	2019/06/24 20:29:52+00
T5534	-14.18149956	-169.6580009	2019/06/24 20:29:57+00
T5534	-14.18152747	-169.6579963	2019/06/24 20:30:02+00
T5534	-14.18155261	-169.6579914	2019/06/24 20:30:07+00
T5534	-14.18158036	-169.6579899	2019/06/24 20:30:12+00
T5534	-14.18160768	-169.657985	2019/06/24 20:30:17+00
T5534	-14.18163777	-169.6579846	2019/06/24 20:30:22+00
T5534	-14.18166175	-169.6579869	2019/06/24 20:30:27+00
T5534	-14.1816884	-169.6579868	2019/06/24 20:30:32+00
T5534	-14.18170709	-169.657981	2019/06/24 20:30:37+00
T5534	-14.18172595	-169.6579727	2019/06/24 20:30:42+00
T5534	-14.18175193	-169.6579691	2019/06/24 20:30:47+00
T5534	-14.18177976	-169.6579671	2019/06/24 20:30:52+00
T5534	-14.18181069	-169.6579583	2019/06/24 20:30:57+00
T5534	-14.18183441	-169.657949	2019/06/24 20:31:02+00
T5534	-14.18186031	-169.6579412	2019/06/24 20:31:07+00
T5534	-14.18188035	-169.6579309	2019/06/24 20:31:12+00
T5534	-14.18190641	-169.6579185	2019/06/24 20:31:17+00
T5534	-14.18193139	-169.657907	2019/06/24 20:31:22+00
T5534	-14.18195293	-169.6579005	2019/06/24 20:31:27+00
T5534	-14.1819681	-169.657891	2019/06/24 20:31:32+00
T5534	-14.18198822	-169.6578804	2019/06/24 20:31:37+00
T5534	-14.18200825	-169.6578681	2019/06/24 20:31:42+00
T5534	-14.18203005	-169.6578517	2019/06/24 20:31:47+00
T5534	-14.18205243	-169.6578367	2019/06/24 20:31:52+00
T5534	-14.18207732	-169.6578262	2019/06/24 20:31:57+00
T5534	-14.18209408	-169.6578122	2019/06/24 20:32:02+00
T5534	-14.18210691	-169.6578062	2019/06/24 20:32:07+00
T5534	-14.18212342	-169.6578039	2019/06/24 20:32:12+00
T5534	-14.1821432	-169.6578052	2019/06/24 20:32:17+00
T5534	-14.18215997	-169.6578071	2019/06/24 20:32:22+00
T5534	-14.18216935	-169.6578117	2019/06/24 20:32:27+00
T5534	-14.18215653	-169.6578315	2019/06/24 20:32:32+00
T5534	-14.18213692	-169.6578451	2019/06/24 20:32:37+00
T5534	-14.18212208	-169.6578511	2019/06/24 20:32:42+00
T5534	-14.18210666	-169.6578581	2019/06/24 20:32:47+00
T5534	-14.1820883	-169.6578733	2019/06/24 20:32:52+00
T5534	-14.18206584	-169.6578854	2019/06/24 20:32:57+00
T5534	-14.18204698	-169.6578947	2019/06/24 20:33:02+00
T5534	-14.18203172	-169.657905	2019/06/24 20:33:07+00
T5534	-14.18201764	-169.6579168	2019/06/24 20:33:12+00
T5534	-14.18200834	-169.6579212	2019/06/24 20:33:17+00
T5534	-14.18200331	-169.6579263	2019/06/24 20:33:22+00
T5534	-14.18199015	-169.6579329	2019/06/24 20:33:27+00
T5534	-14.1819754	-169.6579391	2019/06/24 20:33:32+00
T5534	-14.18196215	-169.6579416	2019/06/24 20:33:37+00
T5534	-14.18194857	-169.6579445	2019/06/24 20:33:42+00
T5534	-14.18193416	-169.6579407	2019/06/24 20:33:47+00
T5534	-14.1819163	-169.6579425	2019/06/24 20:33:52+00
T5534	-14.18189744	-169.6579491	2019/06/24 20:33:57+00
T5534	-14.18188144	-169.6579561	2019/06/24 20:34:02+00
T5534	-14.181863	-169.6579588	2019/06/24 20:34:07+00
T5534	-14.18183886	-169.6579609	2019/06/24 20:34:12+00
T5534	-14.18182402	-169.6579616	2019/06/24 20:34:17+00
T5534	-14.1818029	-169.6579666	2019/06/24 20:34:22+00
T5534	-14.18178236	-169.6579694	2019/06/24 20:34:27+00
T5534	-14.18176711	-169.6579724	2019/06/24 20:34:32+00
T5534	-14.1817511	-169.6579808	2019/06/24 20:34:37+00
